debug: Token file: python.token
debug: Read dummy DCAP token
debug: enclave created:
debug:     base:           0x0000000000000000
debug:     size:           0x0000000040000000
debug:     misc_select:    0x00000000
debug:     attr.flags:     0x0000000000000005
debug:     attr.xfrm:      0x00000000000000e7
debug:     ssa_frame_size: 4
debug:     isv_prod_id:    0x00000000
debug:     isv_svn:        0x00000000
debug: adding pages to enclave: 0x3fef5000-0x40000000 [REG:R--] (manifest) measured
debug: adding pages to enclave: 0x3f405000-0x3fef5000 [REG:RW-] (ssa) measured
debug: adding pages to enclave: 0x3f2a7000-0x3f405000 [TCS:---] (tcs) measured
debug: adding pages to enclave: 0x3f149000-0x3f2a7000 [REG:RW-] (tls) measured
debug: adding pages to enclave: 0x3f109000-0x3f149000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3f0c9000-0x3f109000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3f089000-0x3f0c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3f049000-0x3f089000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3f009000-0x3f049000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3efc9000-0x3f009000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ef89000-0x3efc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ef49000-0x3ef89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ef09000-0x3ef49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3eec9000-0x3ef09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ee89000-0x3eec9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ee49000-0x3ee89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ee09000-0x3ee49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3edc9000-0x3ee09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ed89000-0x3edc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ed49000-0x3ed89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ed09000-0x3ed49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ecc9000-0x3ed09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ec89000-0x3ecc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ec49000-0x3ec89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ec09000-0x3ec49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ebc9000-0x3ec09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3eb89000-0x3ebc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3eb49000-0x3eb89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3eb09000-0x3eb49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3eac9000-0x3eb09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ea89000-0x3eac9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ea49000-0x3ea89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ea09000-0x3ea49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e9c9000-0x3ea09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e989000-0x3e9c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e949000-0x3e989000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e909000-0x3e949000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e8c9000-0x3e909000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e889000-0x3e8c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e849000-0x3e889000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e809000-0x3e849000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e7c9000-0x3e809000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e789000-0x3e7c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e749000-0x3e789000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e709000-0x3e749000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e6c9000-0x3e709000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e689000-0x3e6c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e649000-0x3e689000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e609000-0x3e649000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e5c9000-0x3e609000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e589000-0x3e5c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e549000-0x3e589000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e509000-0x3e549000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e4c9000-0x3e509000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e489000-0x3e4c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e449000-0x3e489000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e409000-0x3e449000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e3c9000-0x3e409000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e389000-0x3e3c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e349000-0x3e389000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e309000-0x3e349000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e2c9000-0x3e309000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e289000-0x3e2c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e249000-0x3e289000 [REG:RW-] (stack) measured
